Neighborhood,Lat,Lon
Academy,38.6578,-90.2671
Baden,38.7172,-90.2341
Benton Park,38.5998,-90.2193
Benton Park West,38.5979,-90.2311
Bevo Mill,38.5813,-90.2666
Botanical Heights-McRee Town,38.6216,-90.2495
Boulevard Heights,38.56,-90.2782
Carondelet,38.5589,-90.2517
Carr Square,38.6401,-90.2032
Central West End,38.6408,-90.2543
Cheltenham,38.6269,-90.2806
Clayton-Tamm,38.627,-90.2919
Clifton Heights,38.6125,-90.2945
College Hill,38.6731,-90.209
Columbus Square,38.6372,-90.1905
Compton Heights,38.6121,-90.2342
Covenant Blu-Grand Center,38.6426,-90.231
DeBaliviere Place,38.6494,-90.2799
Downtown,38.6261,-90.1904
Downtown West,38.63,-90.206
Dutchtown,38.5811,-90.2462
Ellendale,38.6125,-90.306
Fairground Neighborhood,38.6667,-90.2162
Forest Park South East,38.6271,-90.258
Fountain Park,38.657,-90.2596
Fox Park,38.6091,-90.2255
Franz Park,38.6217,-90.3046
Gravois Park,38.5906,-90.2347
Greater Ville,38.6632,-90.2365
Hamilton Heights,38.6684,-90.2791
Hi-Pointe,38.6294,-90.3028
Holly Hills,38.5681,-90.2623
Hyde Park,38.6614,-90.2033
Jeff Vanderlou,38.6509,-90.2201
Kings Oak,38.627,-90.2702
Kingsway East,38.6678,-90.2527
Kingsway West,38.6716,-90.2591
Kosciusko,38.6035,-90.1985
Lafayette Square,38.6171,-90.2153
LaSalle Park,38.6158,-90.1994
Lewis Place,38.6547,-90.252
Lindenwood Park,38.5993,-90.3042
Marine Villa,38.5877,-90.22
Mark Twain,38.6895,-90.242
Mark Twain I-70 Industrial,38.6867,-90.2595
McKinley Heights,38.61,-90.2177
McRee Town,38.6216,-90.2495
Midtown,38.6323,-90.229
Mount Pleasant,38.5744,-90.2354
Near North Riverfront,38.6549,-90.1895
North Hampton,38.5975,-90.2823
North Pointe,38.7159,-90.2467
North Riverfront,38.6978,-90.2173
O'Fallon,38.6754,-90.2242
Old North St. Louis,38.6483,-90.1954
Patch,38.5447,-90.2616
Peabody Darst Webbe,38.616,-90.2066
Penrose,38.678,-90.2403
Penrose Park,36.683,-90.2464
Princeton Heights,38.5758,-90.2855
Riverview,38.7454,-90.1961
Shaw,38.6126,-90.2486
Skinker DeBaliviere,38.651,-90.2942
Soulard,38.6046,-90.2078
South Hampton,38.587,-90.2842
Southwest Garden,38.6096,-90.2723
St. Louis Hills,38.5821,-90.3015
St. Louis Place,38.6508,-90.2062
The Gate District,38.6194,-90.2289
The Hill,38.617,-90.2771
The Ville,38.6588,-90.2397
Tiffany,38.6219,-90.2411
Tower Grove East,38.6034,-90.2366
Tower Grove South,38.598,-90.2575
Vandeventer,38.6494,-90.2413
Visitation Park,38.6569,-90.2754
Walnut Park East,38.6965,-90.2525
Walnut Park West,38.7052,-90.2573
Wells Goodfellow,38.6773,-90.2716
West End,38.6611,-90.2862
Wydown Skinker,38.6395,-90.3038
